Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Nationality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,CU_1st_sem_credited,CU_1st_sem_enrolled,CU_1st_sem_evaluations,CU_1st_sem_approved,CU_1st_sem_grade,CU_1st_sem_without_evaluations,CU_2nd_sem_credited,CU_2nd_sem_enrolled,CU_2nd_sem_evaluations,CU_2nd_sem_approved,CU_2nd_sem_grade,CU_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP_growth_rate,Parental_education_level,Marital_status_category,Target
1,7,2,14,1,1.0,1,4,5,9.0,10.0,1,0,0,1,0,0,34,0,0,5,7,2,6.49,0,1,6,3,2,10.07,0,12.28,0.56,3.13,4,Single,Dropout
1,11,0,14,1,2.0,1,17,27,8.0,16.0,1,0,0,1,1,1,32,0,0,7,10,4,10.06,0,0,7,7,3,12.41,0,11.41,0.1,0.8,22,Single,Not Dropout
2,5,5,3,1,9.0,1,20,12,2.0,1.0,0,0,0,1,0,0,17,0,1,7,6,2,9.32,1,0,7,8,3,6.93,1,10.84,0.31,0.52,16,Married,Not Dropout
1,7,4,17,1,14.0,1,26,6,8.0,2.0,0,0,0,1,0,0,31,0,0,7,7,3,12.7,0,0,8,15,2,10.48,1,12.09,0.55,0.49,16,Single,Not Dropout
1,10,1,5,1,5.0,1,2,18,7.0,13.0,0,0,1,1,0,0,19,0,0,2,6,1,11.59,0,1,3,6,2,12.78,0,10.32,-0.64,2.1,10,Single,Not Dropout
5,4,4,7,1,2.0,1,26,20,6.0,12.0,1,0,0,1,0,0,34,0,0,6,10,4,10.35,2,0,7,6,3,11.83,0,7.0,0.79,-0.73,23,Other,Not Dropout
1,10,0,4,0,2.0,1,16,11,12.0,6.0,1,0,1,1,0,1,17,0,1,3,2,1,8.71,0,0,2,5,1,6.34,0,13.67,3.06,1.36,13,Single,Dropout
2,3,2,3,1,10.0,1,3,24,14.0,12.0,1,0,0,1,0,0,17,0,0,5,4,3,12.51,1,1,4,8,2,14.19,0,10.65,2.24,-0.65,13,Married,Not Dropout
1,3,3,5,1,6.0,1,29,2,1.0,3.0,1,0,0,1,1,0,23,0,0,6,5,2,13.03,1,0,6,7,4,13.69,1,11.19,1.14,-1.43,15,Single,Not Dropout
1,5,0,3,1,6.0,1,14,4,7.0,12.0,1,0,0,1,0,1,21,0,0,10,11,5,7.68,0,0,10,11,3,8.73,0,15.71,1.75,-1.88,9,Single,Not Dropout
1,5,4,13,0,4.0,1,12,19,1.0,,1,0,0,1,1,0,21,0,0,8,6,3,10.45,0,0,7,9,4,9.14,1,10.88,0.7,-2.14,15,Single,Not Dropout
3,1,4,11,1,15.0,1,6,17,16.0,12.0,1,0,0,1,0,0,29,0,1,4,5,2,9.07,0,2,6,8,2,7.42,0,,1.31,-3.51,11,Other,Dropout
1,17,3,7,0,6.0,1,3,21,,7.0,1,0,0,1,0,1,30,0,3,7,8,7,20.0,0,0,6,7,5,20.0,1,9.33,1.72,3.37,12,Single,Not Dropout
2,6,1,10,1,12.0,1,3,25,9.0,14.0,0,0,0,1,1,1,17,0,0,7,7,4,8.7,0,1,8,7,2,9.35,0,17.0,-0.68,2.32,14,Married,Not Dropout
1,14,4,11,0,12.0,1,8,27,18.0,3.0,0,0,0,1,1,0,33,0,0,6,7,3,12.31,0,0,8,6,5,12.25,0,9.79,1.87,-0.63,17,Single,Not Dropout
1,16,2,4,1,1.0,1,9,15,12.0,17.0,1,0,0,1,0,0,17,0,1,6,7,4,14.54,1,0,5,4,3,14.52,0,8.63,1.85,-0.04,12,Single,Not Dropout
1,14,4,6,1,4.0,6,14,15,17.0,10.0,0,0,0,1,1,0,19,0,1,5,5,3,,0,0,2,2,1,10.21,0,7.0,0.28,0.2,14,Single,Not Dropout
1,15,3,15,1,15.0,1,18,27,19.0,5.0,1,0,0,1,1,0,38,0,2,7,11,4,8.49,0,1,6,7,1,10.69,1,13.13,0.48,1.3,22,Single,Dropout
2,2,0,1,1,,1,29,28,12.0,19.0,1,0,0,1,1,0,25,0,1,7,7,4,12.6,0,1,6,8,2,11.02,0,12.71,2.56,2.09,28,Married,Not Dropout
1,7,0,17,1,7.0,1,24,2,9.0,2.0,0,1,0,1,0,0,19,0,0,8,9,4,10.51,0,1,6,5,3,12.65,0,10.87,2.8,1.27,13,Single,Dropout
1,13,0,17,1,3.0,1,15,15,15.0,11.0,1,0,0,1,0,0,25,0,0,8,8,5,11.85,0,0,9,8,5,11.17,0,10.86,0.66,-2.26,15,Single,Not Dropout
1,10,0,5,1,5.0,1,27,27,4.0,2.0,0,0,0,1,0,1,27,0,0,8,11,4,7.3,0,2,9,11,4,11.39,2,10.4,2.08,-0.71,27,Single,Not Dropout
5,1,1,6,1,16.0,1,17,2,6.0,18.0,1,1,0,1,0,0,25,0,0,6,5,3,10.9,0,0,7,6,2,9.92,0,15.84,3.3,-0.9,9,Other,Not Dropout
2,10,0,4,1,11.0,1,13,29,11.0,4.0,1,0,0,1,0,0,31,0,0,6,7,1,4.53,1,0,5,5,0,3.83,0,9.65,1.49,-5.0,21,Married,Dropout
1,14,5,10,1,2.0,1,7,22,4.0,5.0,1,0,0,0,0,0,18,0,0,8,7,5,7.92,0,0,9,10,4,9.41,0,10.87,-0.56,0.28,14,Single,Dropout
1,15,5,4,0,12.0,1,13,5,10.0,13.0,1,0,0,1,1,0,19,0,1,5,3,3,8.09,0,0,4,5,2,5.33,0,7.0,0.55,-5.0,9,Single,Not Dropout
1,7,1,14,1,3.0,1,2,19,17.0,17.0,1,0,0,1,0,1,18,0,0,2,2,1,12.55,0,1,1,0,1,13.53,0,12.85,-0.85,3.27,10,Single,Not Dropout
1,5,1,7,1,5.0,1,5,13,15.0,8.0,1,0,0,1,1,0,18,0,1,3,3,1,4.41,2,2,2,4,0,8.3,0,11.36,2.96,-3.1,9,Single,Dropout
1,6,4,17,0,8.0,1,28,10,17.0,5.0,1,0,0,1,0,0,23,0,1,3,5,2,13.32,0,1,2,5,2,16.85,0,12.92,4.0,-0.18,19,Single,Not Dropout
1,6,3,15,1,6.0,1,6,19,17.0,7.0,1,0,1,1,1,1,17,0,0,7,6,4,10.08,0,1,7,7,5,10.87,1,12.63,1.75,2.71,12,Single,Not Dropout
1,6,3,7,1,12.0,1,17,22,7.0,18.0,0,0,0,1,0,0,25,0,0,7,4,3,6.63,1,0,6,11,1,2.38,1,12.19,-0.03,-2.03,19,Single,Dropout
4,6,5,11,1,3.0,1,3,26,14.0,18.0,0,0,0,0,0,0,27,0,0,8,5,3,14.38,0,0,7,7,4,10.42,0,9.63,2.46,0.55,14,Other,Not Dropout
1,8,3,1,1,15.0,15,18,13,8.0,3.0,0,0,0,1,1,0,17,0,1,7,8,2,8.98,0,0,9,10,3,6.48,0,9.74,-0.03,-2.21,15,Single,Dropout
1,1,4,2,1,10.0,1,29,5,19.0,18.0,0,0,0,1,1,0,19,0,0,8,10,5,9.46,0,1,7,5,6,12.92,1,12.96,3.87,-0.54,17,Single,Not Dropout
1,5,3,9,1,5.0,1,14,26,4.0,16.0,0,0,0,1,1,0,20,0,3,8,9,6,12.71,1,3,9,9,5,14.54,0,10.06,0.06,-1.53,20,Single,Not Dropout
1,6,3,9,1,16.0,1,4,10,6.0,11.0,0,0,0,1,1,0,22,0,1,8,8,5,14.26,0,0,8,13,6,15.43,0,13.02,1.44,1.27,7,Single,Not Dropout
1,3,1,7,1,8.0,1,1,23,18.0,5.0,0,0,0,1,0,0,22,0,0,8,10,5,11.17,0,1,9,11,5,12.02,2,11.87,2.46,0.62,12,Single,Not Dropout
1,15,3,2,1,,1,22,24,5.0,9.0,0,0,1,1,1,0,28,0,0,9,6,6,16.66,0,0,9,10,5,15.54,0,13.32,1.44,0.97,23,Single,Not Dropout
1,12,5,15,1,1.0,1,3,2,12.0,15.0,0,0,0,1,1,0,29,0,1,10,7,9,15.95,0,0,10,9,10,12.51,0,8.58,-1.0,0.1,2,Single,Not Dropout
1,16,2,7,1,16.0,15,10,12,6.0,6.0,0,0,0,1,0,0,18,0,0,6,4,3,10.32,0,0,6,4,3,9.26,2,10.29,1.86,-1.45,11,Single,Not Dropout
1,10,0,8,1,14.0,1,25,3,6.0,7.0,0,0,0,1,1,0,27,0,1,9,10,4,11.26,0,2,8,11,3,8.24,0,11.5,0.07,1.15,14,Single,Not Dropout
2,2,3,7,1,3.0,1,16,18,13.0,9.0,1,0,0,1,0,0,31,0,0,5,8,4,12.34,0,0,5,7,4,17.23,0,9.45,1.54,0.61,17,Married,Not Dropout
1,16,4,9,1,16.0,1,26,24,16.0,2.0,0,0,0,1,1,0,30,0,1,5,4,0,0.66,0,1,4,3,1,0.74,1,10.42,-0.52,-2.66,25,Single,Dropout
1,8,5,12,1,13.0,1,26,17,5.0,8.0,1,0,0,1,1,1,24,0,0,9,8,5,9.28,1,0,7,6,3,6.51,1,10.17,1.52,1.71,21,Single,Dropout
2,12,3,13,0,7.0,1,20,10,19.0,3.0,1,0,0,1,1,0,23,0,0,6,8,5,15.31,0,0,6,8,5,15.69,0,12.29,2.09,1.48,15,Married,Not Dropout
2,7,4,10,1,15.0,1,28,29,2.0,1.0,1,0,0,1,1,0,17,0,0,3,3,2,11.17,0,1,3,6,2,11.15,2,12.14,2.67,2.01,28,Married,Not Dropout
1,9,1,3,1,9.0,1,2,3,2.0,8.0,0,0,0,1,1,0,21,0,0,4,5,3,7.8,0,1,4,2,2,12.08,0,11.62,2.39,0.9,2,Single,Not Dropout
1,9,2,15,1,12.0,1,7,5,19.0,15.0,1,0,0,0,1,0,17,0,0,5,6,2,4.57,0,0,5,6,2,6.86,1,8.68,3.31,-1.92,6,Single,Dropout
1,5,2,5,1,3.0,1,9,11,2.0,19.0,1,0,0,1,1,0,30,0,0,4,3,2,10.97,1,1,5,6,2,12.66,0,9.76,2.1,0.05,10,Single,Not Dropout
1,10,1,1,1,2.0,1,27,28,6.0,9.0,1,0,0,1,0,1,21,0,0,7,12,4,,0,0,8,9,1,5.18,0,9.5,0.82,-2.86,27,Single,Not Dropout
1,13,4,1,1,9.0,1,19,26,3.0,15.0,0,0,0,1,0,0,22,0,1,5,4,1,5.02,1,0,5,6,0,9.17,1,15.33,1.4,1.32,22,Single,Dropout
1,1,5,14,1,6.0,1,8,17,5.0,5.0,1,0,0,1,0,1,19,0,0,6,11,5,16.61,1,0,6,4,4,16.65,0,7.76,2.25,2.65,12,Single,Not Dropout
2,3,1,7,1,16.0,1,7,28,2.0,13.0,0,0,0,1,0,0,17,0,1,5,7,2,9.12,0,1,7,8,2,9.23,0,8.59,-1.0,4.0,17,Married,Not Dropout
1,15,0,1,1,2.0,1,24,27,7.0,,0,0,0,1,0,0,27,0,0,4,6,3,6.97,1,0,3,6,1,9.31,1,11.37,-1.0,-0.86,25,Single,Not Dropout
1,10,4,14,1,13.0,1,25,18,6.0,7.0,0,0,1,1,1,0,26,0,0,4,2,0,8.49,0,0,2,0,0,4.91,2,8.78,1.64,-3.8,21,Single,Dropout
2,17,5,6,1,10.0,1,1,4,4.0,9.0,0,0,0,1,0,0,29,0,1,8,10,3,5.27,2,0,9,10,3,9.12,1,9.77,4.0,-1.67,2,Married,Not Dropout
1,11,5,17,1,15.0,1,11,27,14.0,13.0,1,0,0,1,0,0,17,0,1,7,8,5,13.34,0,1,8,10,6,14.13,0,9.52,2.76,-1.64,19,Single,Not Dropout
1,12,1,15,1,,1,16,19,1.0,6.0,0,0,0,1,0,0,31,0,0,1,2,1,12.38,1,0,4,3,3,14.66,0,7.0,0.79,-1.31,17,Single,Not Dropout
1,16,4,1,1,14.0,1,7,5,10.0,12.0,0,0,0,1,1,0,22,0,1,5,3,2,11.86,0,0,5,5,2,10.91,0,11.5,2.61,3.64,6,Single,Not Dropout
1,12,4,12,1,6.0,1,22,25,6.0,,1,0,0,1,0,0,28,0,0,8,11,3,6.94,0,0,8,7,3,8.8,0,7.4,0.81,0.44,23,Single,Not Dropout
1,6,4,11,0,12.0,1,22,12,13.0,11.0,1,0,0,1,1,0,17,0,0,7,10,5,12.14,0,0,8,9,4,10.46,0,16.86,0.09,2.96,17,Single,Not Dropout
1,9,4,3,1,,1,25,23,7.0,2.0,1,0,0,1,1,0,25,0,0,10,8,5,12.12,0,2,11,10,9,12.52,0,10.07,-0.6,1.94,24,Single,Not Dropout
1,5,5,6,1,8.0,1,23,8,,9.0,0,0,0,0,0,0,23,0,1,6,6,1,7.36,0,1,7,5,1,6.32,1,10.47,1.04,1.72,15,Single,Dropout
1,6,2,9,1,5.0,1,25,1,16.0,10.0,0,0,0,1,0,0,22,0,0,7,7,4,7.97,0,0,7,9,4,12.11,0,9.12,0.11,1.12,13,Single,Not Dropout
1,12,0,3,0,5.0,1,11,14,3.0,16.0,0,0,0,1,0,0,22,0,0,5,7,4,13.13,0,0,7,10,6,13.5,0,11.54,2.42,-0.99,12,Single,Not Dropout
1,3,1,13,1,10.0,1,9,14,9.0,8.0,0,0,0,0,0,1,19,0,0,4,5,3,11.93,0,0,3,3,1,10.39,0,12.22,-0.96,1.15,11,Single,Not Dropout
1,12,5,5,1,3.0,1,10,26,11.0,1.0,0,0,0,1,0,0,17,0,1,7,8,5,9.12,0,0,6,3,4,11.87,0,7.0,2.14,4.0,18,Single,Not Dropout
1,10,5,16,1,10.0,1,25,4,14.0,1.0,1,0,0,1,0,0,17,0,0,6,8,4,9.17,0,1,8,7,3,7.53,0,,0.02,0.21,14,Single,Not Dropout
1,6,0,14,1,7.0,1,19,27,11.0,11.0,1,0,0,1,1,0,23,0,1,11,16,5,,0,0,12,12,10,9.26,0,12.24,1.47,0.77,23,Single,Not Dropout
1,1,2,11,1,4.0,1,10,5,14.0,16.0,1,0,0,0,0,1,31,0,1,5,5,4,16.55,0,1,4,5,3,16.34,0,7.5,0.29,-1.87,7,Single,Not Dropout
1,12,1,3,1,9.0,1,21,28,16.0,17.0,1,0,0,1,0,0,30,0,0,6,9,5,14.92,0,0,6,5,4,17.25,1,12.5,2.56,-0.62,24,Single,Not Dropout
1,15,1,1,1,13.0,1,7,21,15.0,16.0,1,0,0,0,1,0,24,0,0,6,11,2,10.32,1,0,8,9,4,9.87,2,8.13,0.85,-0.89,14,Single,Dropout
2,13,3,3,1,10.0,1,8,11,12.0,7.0,1,0,0,1,1,0,20,0,1,8,12,4,10.36,0,1,8,7,6,11.05,2,10.1,2.28,3.6,9,Married,Not Dropout
1,8,3,9,0,2.0,1,1,28,18.0,10.0,0,0,0,0,0,0,35,0,0,8,10,7,15.83,0,0,7,10,6,15.02,1,9.98,1.57,-0.33,14,Single,Not Dropout
1,12,2,14,1,9.0,1,29,11,1.0,17.0,1,0,0,1,1,0,27,0,0,3,5,2,11.98,0,1,3,1,2,13.75,0,8.03,2.54,0.51,20,Single,Not Dropout
